trans_id,timestamp,customer_id,product_id,quantity,unit_price,store,payment_method,product_name,category,unit,list_price,vat,customer_name,email,city,segment,promo_price,effective_price,line_amount
T726902,2025-08-22 11:40:00,C2246,P1057,1.0,3.85, ,,Ciocolata Zero,Dulciuri,kg,55.51,0.05,George Radu,user2618@example.ro,Constanta,B2C,,3.85,3.85
T661334,2025-04-04 23:30:00,C2123,P1012,1.0,10.49,Online,,Lapte -,Lactate,buc,22.92,0.09,Andrei Ionescu,user3980@example.ro,Iasi,B2C,,10.49,10.49
T896096,2025-09-27 03:15:00,C2119,P1004,10.0,27.33,Online,,Ulei Light,Bauturi,kg,45.67,0.05,Elena Marin,user8061@example.ro,Timisoara,B2C,,27.33,273.29999999999995
T516821,2025-01-26 13:56:00,C2048,P1035,1.0,20.28,Store-01,,Ciocolata Light,-,kg,10.44,0.05,Mihai Stan,user7754@example.ro,Constanta,-,,20.28,20.28
T673371,2025-04-01 18:20:00,C2055,P1001,10.0,54.52,Store-02,,Biscuiti Max,Lactate,kg,6.52,0.19,Andrei Stan,,Brasov,RETAIL,,54.52,545.2
T667169,2025-08-22 23:49:00,C2235,P1045,1.0,36.87,Online,,Apa,Baza,l,10.49,0.19,Mihai Radu,user5430@example.ro,Brasov,RETAIL,,36.87,36.87
T890370,2025-09-11 15:52:00,C2034,P1056,3.0,50.43,Online,,Ceai Max,Dulciuri,buc,26.97,0.09,Mihai Radu,user2390@example.ro,Cluj-Napoca,B2C,,50.43,151.29
T488359,2025-07-25 06:47:00,C2210,P1007,3.0,54.25,Online,,Apa Light,Lactate,set,53.28,0.05,Ana Radu,user6579@example.ro,Iasi,B2C,,54.25,162.75
T913166,2025-05-07 13:52:00,C2169,P1046,5.0,45.55,Store-02,,Suc,-,buc,27.98,0.09,Elena Radu,user9895@example.ro,Iasi,-,,45.55,227.75
T554399,2025-07-22 03:42:00,C2168,P1016,3.0,19.71,shop_03,,Suc -,Baza,l,7.74,0.09,George Marin,user5008@example.ro,Bucuresti,B2B,,19.71,59.13
T141993,2025-07-18 03:43:00,C2130,P1056,1.0,51.58,Online,,Ceai Max,Dulciuri,buc,26.97,0.09,Andrei Ionescu,user2489@example.ro,Timisoara,B2B,,51.58,51.58
T596359,2025-05-21 09:49:00,C2180,P1044,2.0,24.8,Store-01,,Ciocolata Premium,Lactate,l,24.21,0.09,Elena Marin,user194@example.ro,Brasov,RETAIL,,24.8,49.6
T532209,2025-05-28 14:48:00,C2042,P1011,1.0,8.72,Store-02,,Suc Max,Dulciuri,l,14.31,,Elena Popescu,user6904@example.ro,Iasi,B2B,,8.72,8.72
T695026,2025-04-25 04:52:00,C2102,P1015,1.0,45.68,shop_03,,Ciocolata -,Dulciuri,l,29.73,,Maria Popescu,user276@example.ro,Bucuresti,B2C,,45.68,45.68
T490293,2025-04-14 09:03:00,C2077,P1045,1.0,21.21,Store-02,,Apa,Baza,l,10.49,0.19,George Popescu,user2323@example.ro,Iasi,B2C,,21.21,21.21
